Date,BHP.AX,ILU.AX,RIO.AX,SER.AX
2020-01-02,38.95000076293945,9.210000038146973,101.1500015258789,0.03999999910593033
2020-01-03,39.150001525878906,9.229999542236328,101.36000061035156,0.03999999910593033
2020-01-06,39.400001525878906,9.109999656677246,101.12999725341797,0.03999999910593033
2020-01-07,39.54999923706055,9.279999732971191,101.73999786376953,0.03999999910593033
2020-01-08,39.56999969482422,9.149999618530273,100.86000061035156,0.03999999910593033
2020-01-09,40.029998779296875,9.1899995803833,102.19000244140625,0.03999999910593033
2020-01-10,39.900001525878906,9.319999694824219,102.43000030517578,0.05000000074505806
2020-01-13,39.529998779296875,9.289999961853027,102.08000183105469,0.05000000074505806
2020-01-14,40.04999923706055,9.5600004196167,103.97000122070312,0.05000000074505806
2020-01-15,40.18000030517578,9.569999694824219,103.38999938964844,0.04500000178813934
2020-01-16,40.130001068115234,9.4399995803833,103.4000015258789,0.04500000178813934
2020-01-17,40.599998474121094,9.550000190734863,105.23999786376953,0.04500000178813934
2020-01-20,41.2400016784668,9.550000190734863,106.19000244140625,0.04500000178813934
2020-01-21,41.20000076293945,9.59000015258789,106.44999694824219,0.05000000074505806
2020-01-22,41.209999084472656,9.600000381469727,107.37999725341797,0.05000000074505806
2020-01-23,41.08000183105469,9.359999656677246,106.19000244140625,0.04500000178813934
2020-01-24,40.45000076293945,9.4399995803833,103.18000030517578,0.04500000178813934
2020-01-28,39.099998474121094,8.930000305175781,99.98999786376953,0.03999999910593033
2020-01-29,39.34000015258789,9.5,100.43000030517578,0.05000000074505806
2020-01-30,39.0,9.630000114440918,99.19000244140625,0.03999999910593033
2020-01-31,39.400001525878906,9.720000267028809,98.7699966430664,0.03999999910593033
2020-02-03,38.25,9.329999923706055,96.86000061035156,0.03999999910593033
2020-02-04,38.310001373291016,9.300000190734863,97.33999633789062,0.04500000178813934
2020-02-05,38.88999938964844,9.779999732971191,98.43000030517578,0.04500000178813934
2020-02-06,39.540000915527344,9.90999984741211,99.13999938964844,0.04500000178813934
2020-02-07,38.77000045776367,9.739999771118164,98.43000030517578,0.03999999910593033
2020-02-10,38.400001525878906,9.600000381469727,98.30999755859375,0.03999999910593033
2020-02-11,38.560001373291016,9.640000343322754,98.62999725341797,0.04500000178813934
2020-02-12,38.400001525878906,9.539999961853027,97.5,0.03999999910593033
2020-02-13,38.540000915527344,9.510000228881836,98.01000213623047,0.05000000074505806
2020-02-14,38.650001525878906,9.529999732971191,97.6500015258789,0.054999999701976776
2020-02-17,38.470001220703125,9.579999923706055,97.83999633789062,0.05000000074505806
2020-02-18,38.779998779296875,5.041195869445801,98.30999755859375,0.04500000178813934
2020-02-19,38.5,5.062671184539795,98.08999633789062,0.05000000074505806
2020-02-20,38.52000045776367,5.384791851043701,98.13999938964844,0.04500000178813934
2020-02-21,38.220001220703125,5.121726036071777,97.69000244140625,0.04500000178813934
2020-02-24,37.09000015258789,5.025090217590332,95.26000213623047,0.05000000074505806
2020-02-25,36.33000183105469,4.9230852127075195,93.5999984741211,0.05000000074505806
2020-02-26,35.54999923706055,4.75128698348999,91.88999938964844,0.05000000074505806
2020-02-27,35.189998626708984,4.665388107299805,90.41000366210938,0.05000000074505806
2020-02-28,33.599998474121094,4.477484226226807,87.2699966430664,0.05000000074505806
2020-03-02,33.349998474121094,4.434535026550293,86.2699966430664,0.05000000074505806
2020-03-03,33.9900016784668,4.46137809753418,88.80000305175781,0.05000000074505806
2020-03-04,33.65999984741211,4.509696006774902,90.0,0.05000000074505806
2020-03-05,33.41999816894531,4.552646160125732,88.44999694824219,0.05000000074505806
2020-03-06,32.189998626708984,4.40769100189209,86.25,0.05000000074505806
2020-03-09,27.549999237060547,3.99967098236084,80.7699966430664,0.05000000074505806
2020-03-10,29.25,4.305685997009277,83.61000061035156,0.05000000074505806
2020-03-11,28.520000457763672,4.225155830383301,82.70999908447266,0.05000000074505806
2020-03-12,26.329999923706055,3.8332419395446777,77.4000015258789,0.05000000074505806
2020-03-13,26.719999313354492,3.962090015411377,81.08000183105469,0.03999999910593033
2020-03-16,25.200000762939453,3.6238629817962646,77.6500015258789,0.03999999910593033
2020-03-17,28.209999084472656,4.037251949310303,83.0,0.03999999910593033
2020-03-18,27.139999389648438,3.779555082321167,79.91000366210938,0.03999999910593033
2020-03-19,27.34000015258789,3.758080005645752,80.5199966430664,0.03999999910593033
2020-03-20,27.010000228881836,3.6507060527801514,82.0,0.03999999910593033
2020-03-23,27.030000686645508,3.328584909439087,78.70999908447266,0.03999999910593033
2020-03-24,28.399999618530273,3.6614439487457275,79.55000305175781,0.03999999910593033
2020-03-25,31.299999237060547,3.8493480682373047,83.81999969482422,0.03999999910593033
2020-03-26,30.670000076293945,3.9137721061706543,88.12999725341797,0.03999999910593033
2020-03-27,29.030000686645508,3.613126039505005,85.77999877929688,0.03999999910593033
2020-03-30,30.200000762939453,3.6721808910369873,87.54000091552734,0.03999999910593033
2020-03-31,28.979999542236328,3.747343063354492,84.56999969482422,0.03999999910593033
2020-04-01,30.229999542236328,3.8493480682373047,88.4000015258789,0.03999999910593033
2020-04-02,29.850000381469727,3.811767101287842,87.4000015258789,0.029999999329447746
2020-04-03,30.329999923706055,3.801029920578003,88.93000030517578,0.03999999910593033
2020-04-06,31.790000915527344,3.8976659774780273,90.37999725341797,0.03999999910593033
2020-04-07,31.700000762939453,3.870821952819824,90.6500015258789,0.03999999910593033
2020-04-08,31.31999969482422,3.8225040435791016,89.26000213623047,0.05000000074505806
2020-04-09,31.5,3.9137721061706543,89.38999938964844,0.05000000074505806
